struktur_id,typ,X,Y,pos
31,Winterquartier,8.632810232000054,47.24332335300005,"http://www.google.com/maps/place/47.2433233530001,8.63281023200005"
60,Winterquartier,8.664526855000076,47.179247632000056,"http://www.google.com/maps/place/47.1792476320001,8.66452685500008"
63,Winterquartier,8.614936994000061,47.24819448200003,"http://www.google.com/maps/place/47.248194482,8.61493699400006"
116,Winterquartier,8.65590929900003,47.210522239000056,"http://www.google.com/maps/place/47.2105222390001,8.65590929900003"
196,Winterquartier,8.646177805000036,47.224814630000026,"http://www.google.com/maps/place/47.22481463,8.64617780500004"
198,Winterquartier,8.645121248000066,47.225102624000044,"http://www.google.com/maps/place/47.225102624,8.64512124800007"
238,Winterquartier,8.663516165000033,47.18121072400004,"http://www.google.com/maps/place/47.181210724,8.66351616500003"
302,Winterquartier,8.680639725000049,47.211635554000054,"http://www.google.com/maps/place/47.2116355540001,8.68063972500005"
12747,Winterquartier,8.601823912000043,47.211394590000054,"http://www.google.com/maps/place/47.2113945900001,8.60182391200004"
13955,Winterquartier,8.64611904800006,47.209453419000056,"http://www.google.com/maps/place/47.2094534190001,8.64611904800006"
13956,Winterquartier,8.627925384000037,47.20030228300004,"http://www.google.com/maps/place/47.200302283,8.62792538400004"
